id;article_id;category;created_at
fbd586a8-2116-406e-ad9f-e65c1d0ecce9;1330e6af-1758-4e70-985a-dc38d1b57bf2;Technology;2025-11-09 22:22:57.448825+00
641de17e-956f-403e-a271-e7f06f22a2a2;1330e6af-1758-4e70-985a-dc38d1b57bf2;RFPs & Procurement;2025-11-09 22:22:57.448825+00
639fa8bf-f1aa-4f28-b29b-3f62e08f9f40;1330e6af-1758-4e70-985a-dc38d1b57bf2;Market Trends;2025-11-09 22:22:57.448825+00
a8aabe0c-a118-4896-9dde-e5b7b2b2cb80;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Funding;2025-11-10 18:38:56.897209+00
74b67815-f163-46f3-bc64-672ef72bee66;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Government;2025-11-10 18:38:56.897209+00
5bdd6384-d12b-4563-8110-ac4521b4cd49;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;RFPs & Procurement;2025-11-10 18:38:56.897209+00
208b48c9-1c80-4dfd-a645-bd3dccbe7181;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Technology;2025-11-10 18:38:56.897209+00
31364e59-61ee-4f6d-a58b-59e7c1da9238;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Market Trends;2025-11-10 18:38:56.897209+00
e489f265-69de-4c6b-8eb3-9bd8e3e6dcbe;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Funding;2025-11-11 17:13:08.013026+00
b0334bf1-650e-4623-a73d-22b1e7f04b58;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Technology Partnerships;2025-11-11 17:13:08.013026+00
0ce89021-579a-4239-b5ec-3548dbb17456;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Microtransit;2025-11-11 17:13:08.013026+00
0fcb7a08-d09f-4911-93b7-c68032a93f76;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Government;2025-11-11 17:13:08.013026+00
53aa0c4c-4d38-4ab3-8097-d1573a19e1f5;845cae82-0056-4895-a5e0-b3be42663390;Microtransit;2025-11-11 17:24:11.616131+00
3cdb0b6f-992b-4763-851c-b8198fb9715c;845cae82-0056-4895-a5e0-b3be42663390;Technology;2025-11-11 17:24:11.616131+00
a6665ca4-451b-45a3-a004-b4f3d4183c25;845cae82-0056-4895-a5e0-b3be42663390;Technology Partnerships;2025-11-11 17:24:11.616131+00
2edd956e-996c-4492-a50d-17d698bfbdd7;845cae82-0056-4895-a5e0-b3be42663390;Market Trends;2025-11-11 17:24:11.616131+00
93d09fa4-665e-4170-a595-193e34390580;bbc9e488-43cd-4280-a30d-fd280d628eb7;Microtransit;2025-11-11 17:32:07.65565+00
b34f5ac4-21f1-4df5-9a30-4254f1962269;7c0eb3ca-ee99-42c4-87bd-36243a1814ae;Market Trends;2025-11-11 17:43:08.839921+00
da90d041-a944-4210-8bd1-b69134e01343;7c0eb3ca-ee99-42c4-87bd-36243a1814ae;RFPs & Procurement;2025-11-11 17:43:08.839921+00
738fbdd9-99e1-4217-ad06-dc8b5158c583;7c0eb3ca-ee99-42c4-87bd-36243a1814ae;Funding;2025-11-11 17:43:08.839921+00
db183161-4690-4acf-b3bf-2d0b9fa9592a;101a96d3-babe-4e31-bea0-83c6917d2067;Microtransit;2025-11-11 17:46:32.554969+00
5f41a06b-0793-41b3-8ef0-4340d83a045d;101a96d3-babe-4e31-bea0-83c6917d2067;Technology;2025-11-11 17:46:32.554969+00
7bff7a23-78d7-4b60-b08c-9b11d5f35efa;101a96d3-babe-4e31-bea0-83c6917d2067;Technology Partnerships;2025-11-11 17:46:32.554969+00
4a8e4080-de92-4f97-ad95-cc68a057d6b4;f116582a-9f71-4553-a343-cad3db2fc5c0;RFPs & Procurement;2025-11-11 18:34:07.481424+00
4155b802-639a-4709-b186-ea12a5699c4d;f116582a-9f71-4553-a343-cad3db2fc5c0;Government;2025-11-11 18:34:07.481424+00
c34e44ea-9cb8-45ac-ba13-7c47f857260d;f116582a-9f71-4553-a343-cad3db2fc5c0;Market Trends;2025-11-11 18:34:07.481424+00
29074648-c288-4bbb-96c3-f737afcf4e5d;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;Technology Partnerships;2025-11-11 18:37:28.436864+00
947601d5-87cf-44d0-b3fb-a8fd27d0aa85;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;Technology;2025-11-11 18:37:28.436864+00
4211281c-7552-4eb4-acbe-ceb294b388a8;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;Market Trends;2025-11-11 18:37:28.436864+00
cafc9f58-6df3-4413-add7-759f0a2cce81;86d47732-7e9c-4cdc-b45b-d7e2cd037312;Technology Partnerships;2025-11-11 18:45:42.868549+00
0f4689ed-8a32-4100-a025-531879c60954;ad3f650f-8498-43bf-b73a-cd18b408bebb;Funding;2025-11-13 16:11:04.734801+00
bc97071a-fbd4-4011-8cba-f4c84332f643;ad3f650f-8498-43bf-b73a-cd18b408bebb;Government;2025-11-13 16:11:04.734801+00
a2bcf0cc-4bf8-4de1-a6ab-68cc33d0e6af;28ec98ef-58b3-4d63-96dd-4b4774c744bf;Safety & Security;2025-11-13 16:53:29.278201+00
5debb150-7827-4d48-bf0f-abbca1906c59;d08684f0-b658-42a7-82d1-2c0c959b751c;Funding;2025-11-13 18:33:51.967317+00
882bd1a1-cd14-4ba8-8f53-3be3af4856a8;d08684f0-b658-42a7-82d1-2c0c959b751c;Government;2025-11-13 18:33:51.967317+00
225a9ff6-9ec1-4cde-b61b-eaa60ba1f83b;141fe870-9f69-4db1-add1-de950e91461d;Government;2025-11-20 01:23:13.475772+00
51ccdb36-6c7e-44cc-a063-4a58025440bc;141fe870-9f69-4db1-add1-de950e91461d;RFPs & Procurement;2025-11-20 01:23:13.475772+00
7b2ad997-e073-48ba-b70a-c17220886aff;ab61f0ce-5e25-4da1-80c3-0d585d480217;Market Trends;2025-11-20 01:33:00.955027+00
e64514e5-635d-4d6d-b732-4374b9216e52;ab61f0ce-5e25-4da1-80c3-0d585d480217;Technology;2025-11-20 01:33:00.955027+00
5aeedc96-a957-449c-b15e-dbca2ca5e3d8;ab61f0ce-5e25-4da1-80c3-0d585d480217;Technology Partnerships;2025-11-20 01:33:00.955027+00
81b19dbc-4431-4a75-886f-a6e9b389983e;ab61f0ce-5e25-4da1-80c3-0d585d480217;Microtransit;2025-11-20 01:33:00.955027+00
173981f9-8894-475b-8889-470ea7fb3dcc;d0cb70df-3608-45f4-82f6-2963eb3c3e86;Market Trends;2025-11-20 04:36:56.709531+00
37bcc11d-c9d9-40b9-8044-d90d8494a84e;d0cb70df-3608-45f4-82f6-2963eb3c3e86;Government;2025-11-20 04:36:56.709531+00
583d3030-dc8f-4f44-a32f-d4089b9eb28f;d0cb70df-3608-45f4-82f6-2963eb3c3e86;Technology Partnerships;2025-11-20 04:36:56.709531+00
71678ad3-1760-4c1b-a2bf-a3bd06a70ffd;6077692a-a454-45bd-b250-c5a5585e7772;Microtransit;2025-11-09 22:05:46.392538+00
eba401e8-655b-4135-bbc8-7b33da1d71e6;6077692a-a454-45bd-b250-c5a5585e7772;RFPs & Procurement;2025-11-09 22:05:46.392538+00
0f943de9-93f3-4631-ab53-9f8906ce67c5;6077692a-a454-45bd-b250-c5a5585e7772;Technology;2025-11-09 22:05:46.392538+00
55ea2771-57b7-48bc-a56c-adb4fe2ee82e;4c3cc6cb-a681-46f4-856a-e566484cdd70;Market Trends;2025-11-09 22:05:46.969608+00
ecda85c1-a172-4f32-9053-d2bd017717a0;4c3cc6cb-a681-46f4-856a-e566484cdd70;Technology;2025-11-09 22:05:46.969608+00
a25964fc-e1a6-4886-a767-4a17a8ca9c7c;4c3cc6cb-a681-46f4-856a-e566484cdd70;Government;2025-11-09 22:05:46.969608+00
35d6e2a8-43b4-45a2-9726-771db620d74c;0f47580d-c9be-4531-b5cc-3e1429fe8414;Funding;2025-11-09 22:05:47.126622+00
2aec5147-a3e0-47a9-8cc7-80ec01246890;0f47580d-c9be-4531-b5cc-3e1429fe8414;RFPs & Procurement;2025-11-09 22:05:47.126622+00
8a186c8a-14e4-44f2-b582-9393819cb9e3;0f47580d-c9be-4531-b5cc-3e1429fe8414;Technology;2025-11-09 22:05:47.126622+00
8aa8f5fc-892f-49fe-a051-9f2a1c99dbe9;0f47580d-c9be-4531-b5cc-3e1429fe8414;Market Trends;2025-11-09 22:05:47.126622+00
b3ed3c23-94a8-498a-b17c-848641a1c983;0f47580d-c9be-4531-b5cc-3e1429fe8414;Microtransit;2025-11-09 22:05:47.126622+00
e044280a-39a9-4eed-8c7a-6e2e0c607703;0f47580d-c9be-4531-b5cc-3e1429fe8414;Government;2025-11-09 22:05:47.126622+00
005bafec-d98c-4452-ab5a-42b13062c403;0f47580d-c9be-4531-b5cc-3e1429fe8414;Safety & Security;2025-11-09 22:05:47.126622+00
48bc2ccf-54c6-4157-a857-8fb87843aca7;a66877d1-f4ba-4d0f-b799-8983066eb905;Technology;2025-11-09 22:05:47.213375+00
c5282001-e36a-4d76-a98e-49e97284cd88;a66877d1-f4ba-4d0f-b799-8983066eb905;RFPs & Procurement;2025-11-09 22:05:47.213375+00
2331d206-a617-412e-ae9e-dfa6d1038e56;a66877d1-f4ba-4d0f-b799-8983066eb905;Safety & Security;2025-11-09 22:05:47.213375+00
0a157271-3889-4ed3-a7c7-6ec647d16e07;a66877d1-f4ba-4d0f-b799-8983066eb905;Government;2025-11-09 22:05:47.213375+00
4f441e02-5e7f-453e-806a-46d090516866;a66877d1-f4ba-4d0f-b799-8983066eb905;Market Trends;2025-11-09 22:05:47.213375+00
0208e4b2-b4d6-4098-8d93-df6e40744508;4d3de57d-4f4b-4e99-b425-5868da2509d5;Government;2025-11-09 22:05:47.459963+00
54de91aa-334c-43dc-808d-9d4baeed5049;4d3de57d-4f4b-4e99-b425-5868da2509d5;Funding;2025-11-09 22:05:47.459963+00
6d66c317-755f-427c-ae6a-2481b19076c3;4d3de57d-4f4b-4e99-b425-5868da2509d5;Technology Partnerships;2025-11-09 22:05:47.459963+00
7271ce00-3dd4-478d-a587-d2f1d2c6c5a9;4d3de57d-4f4b-4e99-b425-5868da2509d5;Market Trends;2025-11-09 22:05:47.459963+00
22698eaf-7569-45ca-8794-e0faf2644633;e5d33dd7-8668-4622-afab-da4595713567;RFPs & Procurement;2025-11-09 22:05:48.160081+00
7e4766ef-1e7b-40ee-bccc-1647f8d6e677;e5d33dd7-8668-4622-afab-da4595713567;Technology;2025-11-09 22:05:48.160081+00
c8d0e1d8-005d-4f38-8697-5bfd25502a4a;e5d33dd7-8668-4622-afab-da4595713567;Funding;2025-11-09 22:05:48.160081+00
f122549b-7758-432a-9e5a-f7a9f6a53b47;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;Microtransit;2025-11-09 22:05:48.535394+00
33507a94-17cb-4136-bab6-be61a7728fba;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;Technology;2025-11-09 22:05:48.535394+00
3a53e5d8-dde9-4024-8cd0-1813e0248486;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;Funding;2025-11-09 22:05:48.535394+00
93e9335e-2787-4d5f-91e8-a8aaeff13e12;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;RFPs & Procurement;2025-11-09 22:05:48.535394+00
cf1f2b30-7b30-4792-90d0-dbf83f533c52;552ab9a2-8d9b-4451-a2f0-2f60840b11ac;RFPs & Procurement;2025-11-09 22:05:48.569335+00
d6aa48de-1edb-4ec2-a985-ddeced198375;552ab9a2-8d9b-4451-a2f0-2f60840b11ac;Market Trends;2025-11-09 22:05:48.569335+00
b21c7abd-b9e1-4566-b1cc-ddd422334444;9b369357-feb1-4ac7-bd64-b4bd17997fc0;Technology;2025-11-09 22:05:50.662037+00
64893541-8184-4c6c-8ad3-3bd9b701326c;9b369357-feb1-4ac7-bd64-b4bd17997fc0;Microtransit;2025-11-09 22:05:50.662037+00
a8c48e12-1810-4802-a825-0c097231990e;9b369357-feb1-4ac7-bd64-b4bd17997fc0;Funding;2025-11-09 22:05:50.662037+00
3300166e-e41a-4be0-bc6b-2bd23cb32463;9b369357-feb1-4ac7-bd64-b4bd17997fc0;Market Trends;2025-11-09 22:05:50.662037+00
3b483e19-7cd5-430a-b30c-afc30793dde1;937579da-2b97-4086-876c-98e48207cb61;Technology Partnerships;2025-11-09 22:05:53.261817+00
c3d9fc84-9d87-47c5-b27c-3c77b276d015;937579da-2b97-4086-876c-98e48207cb61;Technology;2025-11-09 22:05:53.261817+00
139a296b-daa8-4c69-908a-6f15ef51fe11;937579da-2b97-4086-876c-98e48207cb61;Market Trends;2025-11-09 22:05:53.261817+00
c47e67bd-9a50-4562-ac15-fe39ee4d3da0;937579da-2b97-4086-876c-98e48207cb61;Microtransit;2025-11-09 22:05:53.261817+00
5bfc85a9-626c-4178-b500-928d47574ca5;033719f8-5f31-4e68-b89e-50bf7841c8d1;Technology;2025-11-09 22:05:53.388504+00
c883c8af-430c-4ed9-8329-6d093ea436ba;033719f8-5f31-4e68-b89e-50bf7841c8d1;RFPs & Procurement;2025-11-09 22:05:53.388504+00
6c317c73-82a5-4bf7-a2dd-5501f7681e6f;033719f8-5f31-4e68-b89e-50bf7841c8d1;Market Trends;2025-11-09 22:05:53.388504+00
d9f2d38a-0ec9-453b-b408-ceadbc06ffa0;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;Funding;2025-11-09 22:05:54.069663+00
19aefdd9-66a3-4ebd-8d34-3ab95bd0fee0;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;RFPs & Procurement;2025-11-09 22:05:54.069663+00
514abf24-3ce7-470f-b1da-0a73d9ef5075;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;Technology Partnerships;2025-11-09 22:05:54.069663+00
6ac0392c-92d8-4eee-9520-82d6c983f3a1;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;Technology;2025-11-09 22:05:54.069663+00
306cf04c-33b5-4758-ab87-d114d29b3531;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;Market Trends;2025-11-09 22:05:54.069663+00
e263b554-a5a1-4e98-8916-c8ee6c8919b2;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;Safety & Security;2025-11-09 22:05:54.069663+00
9d269f16-7198-49d1-ad51-552485bd38a8;d794cb24-3b66-49e7-880a-2e6351d50b02;Technology;2026-01-09 17:06:51.958494+00
eda440cf-9d16-44e5-a6f8-482c56968645;d794cb24-3b66-49e7-880a-2e6351d50b02;Market Trends;2026-01-09 17:06:51.958494+00